,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
122,53972506.18695759,0.0,96422940.20292781,0.002908427335193034,885500000.0,0.0
123,117657018.40774402,0.0,135436564.65360928,0.00744970299618168,1118400000.0,0.0
124,58934939.846400745,0.008307091863624437,283422581.3384405,0.0,151900000.0,2002.5339422044913
125,53972506.18695759,0.0,138109568.26624304,0.000931479941301661,1613800000.0,1269.300486662841
126,37255203.23710208,0.0,54891811.9439793,0.002318016282304428,230600000.0,9934.222006045717
127,42291505.65437629,0.0,191285353.95062754,0.0,1043500000.0,0.0
128,68139002.95605196,0.0,71854268.01800358,0.027665342301848708,115300000.0,0.0
129,155725077.56163484,0.10131875085257716,14395063.856952319,0.016500833801905583,151900000.0,0.0
130,77099991.75787257,0.0,29367021.15067353,0.033872639937109456,1135700000.0,0.0
131,150159471.1244788,0.007002135258224011,167779549.01364613,0.0003125972293721458,151900000.0,2651.2718866710507
132,0.0,0.0,178077139.75578064,0.013832671150924354,248500000.0,0.0
133,32694901.094161935,0.0,182385740.87794805,0.013832671150924354,115300000.0,0.0
134,127373940.11831835,0.007598906313943288,66045103.44010488,0.0,0.0,5482.973019764504
135,127568368.5380355,0.0,10266702.208204525,0.001763835663481356,1500100000.0,570.4407861994964
136,110573595.57493308,0.0,19714713.83173465,0.0027381664512651912,146000000.0,6377.579723040518
137,198655966.29970902,0.0,29367021.15067353,0.033872639937109456,454300000.0,0.0
138,124231115.41096926,0.0,29367021.15067353,0.004064716792453135,538900000.0,3645.462106191072
139,71223146.50296113,0.0,112975029.206277,0.029360963917474472,84600000.0,0.0
140,78453877.84187987,0.0,241594745.19287825,0.0,1195400000.0,234.71011512812112
141,224396506.97301042,0.0,121701716.67461371,0.0,1150800000.0,0.0
142,88511693.9986257,0.0,156433324.81006658,0.00348744593847143,508200000.0,4654.00590936568
143,134488631.6801605,0.058351127151866765,220518144.5181843,0.0,273100000.0,0.0
144,42291505.65437629,0.0,73315450.27094865,0.0,236500000.0,4372.308665993923
145,176006934.67244527,0.0,59410102.93073928,0.0,405700000.0,656.884567532466
146,32694901.094161935,0.0,60727620.602855265,0.0017847766919987203,800900000.0,1352.8781452165147
147,83497824.69174261,0.0,36017352.68235521,0.04149801345277306,542900000.0,0.0
148,32694901.094161935,0.0,70240716.16483334,0.03735776914765409,520200000.0,0.0
149,53972506.18695759,0.0,36017352.68235521,0.004979761614332767,199900000.0,5149.924902044264
150,88429031.37443781,0.0,19457251.99473615,0.022231872795545463,696900000.0,0.0
151,37255203.23710208,0.0,124088544.72281986,0.01159148659159203,779400000.0,0.0
152,88511693.9986257,0.0,94465859.99702881,0.0009596166276215544,84600000.0,9578.095574618344
153,127373940.11831835,0.05065937542628858,66728027.209831744,0.03300068398507977,0.0,0.0
154,82486364.32617709,0.0,13840815.352812577,0.015840888008050707,1074200000.0,0.0
155,115272862.040791,0.0,251478919.64097834,0.0,176700000.0,0.0
156,85178223.26718086,0.007691751725578184,214456647.0653237,0.0,0.0,0.0
157,119952250.00536126,0.05065937542628858,101295275.49784446,0.009260482878363356,121200000.0,0.0
158,110573595.57493308,0.0,168405957.489918,0.014613337657267925,411600000.0,0.0
159,32694901.094161935,0.0,57154609.6519351,0.0019956618894576075,497000000.0,5444.103155419776
160,47847947.961454235,0.0,96428441.34923567,0.04272831737458971,0.0,0.0
161,109423197.42458755,0.02377543639588018,124683302.54710168,0.002575267321258681,0.0,2492.8709582864067
162,155335338.84040844,0.007691751725578184,107951506.90117814,0.016848693703679068,151900000.0,0.0
163,0.0,0.0,192567114.86569905,0.0,115300000.0,0.0
